bits,v_ind,r_density,r_naive_p,left_ind,right_ind,left_cnt,right_cnt,density,naive_p
4,18043609,333711,333711,146677,146717,20,20,1.1269803604471467e+00,1.4448915879280159e-13
4,18595510,2637106,2637106,151164,151204,20,20,8.0905843916572295e-01,3.5199333906228099e-06
8,20454040,41278424,41278424,166274,166314,20,20,4.1464159294143571e-01,5.9559450402572900e-01
8,20523043,45317079,45317079,166835,166875,20,20,3.9741395705737664e-01,6.9409583522211327e-01
4,21184906,23236486,23236486,172216,172256,20,20,5.0576746058713340e-01,1.4631584894321195e-01
8,22090309,13705957,13705957,179577,179617,20,20,5.8022581833267595e-01,2.2762322829120663e-02
4,22335694,33470261,33470261,181572,181612,20,20,4.5011685264671691e-01,3.8880349849735446e-01
4,24066796,78354,78354,195646,195686,20,20,1.3732952901327562e+00,2.8308886556586435e-20
4,24066919,85087,85087,195647,195687,20,20,1.3588730390754777e+00,7.2749690801234993e-20
4,24067042,72387,72387,195648,195688,20,20,1.3868328107129799e+00,1.1626826520380172e-20
4,24745510,51413691,51413691,201164,201204,20,20,3.7195228238959943e-01,8.1977164325353813e-01
8,27041674,39618720,39618720,219832,219872,20,20,4.2188086309781109e-01,5.5273869528557362e-01
8,29469079,14766018,14766018,239567,239607,20,20,5.6994980548149776e-01,3.0469138765976747e-02
4,29487037,45385937,45385937,239713,239753,20,20,3.9712230018893774e-01,6.9569378778619961e-01
4,30464764,68925936,68925936,247662,247702,20,20,2.9100384924903566e-01,9.9060792558613209e-01
8,32936941,37799318,37799318,267761,267801,20,20,4.2998644729297525e-01,5.0462626920456766e-01
4,33087493,8274120,8274120,268985,269025,20,20,6.4945254464762647e-01,2.4622846833681315e-03
8,33140875,4666809,4666809,269419,269459,20,20,7.2847280501089284e-01,1.1966853799407676e-04
8,34112452,67139908,67139908,277318,277358,20,20,3.0082182390482926e-01,9.8469802787005700e-01
8,34306177,25115795,25115795,278893,278933,20,20,4.9434381507772868e-01,1.8430901118845244e-01
4,35636545,10228775,10228775,289709,289749,20,20,6.2040416622277750e-01,6.6002051280909637e-03
4,37395199,4233753,4233753,304007,304047,20,20,7.4207355977329481e-01,6.7938671439577778e-05
8,38578090,59694715,59694715,313624,313664,20,20,3.3659344398092755e-01,9.3476054069363568e-01
8,38768986,607914,607914,315176,315216,20,20,1.0303992412144016e+00,3.8657977758570227e-11
8,39759013,24331825,24331825,323225,323265,20,20,4.9902378268277908e-01,1.6798769630444832e-01
8,43763278,48811104,48811104,355780,355820,20,20,3.8280187373802832e-01,7.6999815052233156e-01
8,47073946,12035307,12035307,382696,382736,20,20,5.9812089887912157e-01,1.3363377452505761e-02
8,47074192,10943039,10943039,382698,382738,20,20,6.1117132889336101e-01,8.8899617014715979e-03
8,47074315,12932487,12932487,382699,382739,20,20,5.8823407911276604e-01,1.8004112688998101e-02
8,47074561,11982455,11982455,382701,382741,20,20,5.9872849458355626e-01,1.3116817188062806e-02
8,47074930,12208145,12208145,382704,382744,20,20,5.9615426593599219e-01,1.4190252166218421e-02
8,47528062,13059429,13059429,386388,386428,20,20,5.8688566728574132e-01,1.8737457421109063e-02
3,49587943,3347,3347,403135,403175,20,20,1.9468837348387402e+00,8.8199826175253470e-38
3,49588066,2276,2276,403136,403176,20,20,2.0195872370288415e+00,3.9561568965908363e-40
3,49588189,1528,1528,403137,403177,20,20,2.0923289339766757e+00,1.6812447244982387e-42
3,49588312,1002,1002,403138,403178,20,20,2.1778118939815374e+00,2.5834704349753439e-45
3,49588435,700,700,403139,403179,20,20,2.2491222320458655e+00,1.1089739840321959e-47
3,49588558,546,546,403140,403180,20,20,2.2937267905943308e+00,3.5921185930021948e-49
3,49588681,498,498,403141,403181,20,20,2.3142819411386308e+00,7.3571794188526041e-50
3,49588804,547,547,403142,403182,20,20,2.2931818272730400e+00,3.7461865730881168e-49
3,49588927,516,516,403143,403183,20,20,2.3066525957739468e+00,1.3257730417830690e-49
3,49589050,502,502,403144,403184,20,20,2.3123312150756243e+00,8.5530921386598377e-50
3,49589173,463,463,403145,403185,20,20,2.3361544564528272e+00,1.3565990088590216e-50
3,49589296,434,434,403146,403186,20,20,2.3532461933212887e+00,3.6110514570110426e-51
3,49589419,448,448,403147,403187,20,20,2.3460216867902952e+00,6.3199649100160699e-51
3,49589542,392,392,403148,403188,20,20,2.3745948010629561e+00,6.8925716794777139e-52
3,49589665,376,376,403149,403189,20,20,2.3835631095674907e+00,3.4341256095482878e-52
3,49589788,332,332,403150,403190,20,20,2.4136368813322799e+00,3.3071147904418221e-53
3,49589911,318,318,403151,403191,20,20,2.4244598985285526e+00,1.4223976600814532e-53
3,49590034,446,446,403152,403192,20,20,2.3475916171711231e+00,5.5963576033213246e-51
3,49590157,615,615,403153,403193,20,20,2.2734340386397691e+00,1.7133557049378137e-48
3,49590280,878,878,403154,403194,20,20,2.2042040152301592e+00,3.4526091566909426e-46
3,49590403,1125,1125,403155,403195,20,20,2.1541319074623093e+00,1.5642197467512754e-44
3,49590526,1648,1648,403156,403196,20,20,2.0803509177662249e+00,4.1459172861849156e-42
3,49590649,2416,2416,403157,403197,20,20,2.0089941629315504e+00,8.7263025723844517e-40
3,49590772,3441,3441,403158,403198,20,20,1.9414897969290243e+00,1.3144769282764529e-37
3,49590895,4878,4878,403159,403199,20,20,1.8756053626345137e+00,1.6767659522622070e-35
3,49591018,4830,4830,403160,403200,20,20,1.8770103352094283e+00,1.5128064724317017e-35
8,50435413,63395207,63395207,410025,410065,20,20,3.1960223333899318e-01,9.6521722911788288e-01
8,50435659,61496868,61496868,410027,410067,20,20,3.2846671632774832e-01,9.5109572382492324e-01
8,50435782,59495311,59495311,410028,410068,20,20,3.3747712337778935e-01,9.3277351950727694e-01
8,50608474,18607339,18607339,411432,411472,20,20,5.3761270023159069e-01,7.1046743439346013e-02
8,51735154,72865024,72865024,420591,420632,20,20,2.6599949412280000e-01,9.9780139348882491e-01
3,53317672,4616,4616,433458,433498,20,20,1.8854790556227476e+00,8.1322324512754713e-36
3,53318041,4572,4572,433461,433501,20,20,1.8873881357637454e+00,7.0695671008504073e-36
3,53318164,3768,3768,433462,433502,20,20,1.9237180623611767e+00,4.8836932697224177e-37
3,53318287,3540,3540,433463,433503,20,20,1.9365016056765973e+00,1.9005781968178207e-37
3,53318410,3067,3067,433464,433504,20,20,1.9632249040274170e+00,2.6284161816238847e-38
3,53318533,2683,2683,433465,433505,20,20,1.9884777892312808e+00,4.0259069748650955e-39
3,53318656,2867,2867,433466,433506,20,20,1.9763020142440040e+00,9.9560298075742333e-39
3,53318779,2828,2828,433467,433507,20,20,1.9793966641653906e+00,7.9105055159038097e-39
3,53318902,2966,2966,433468,433508,20,20,1.9698768895541374e+00,1.6044543854520415e-38
3,53319025,2585,2585,433469,433509,20,20,1.9953161221767626e+00,2.4195503044340634e-39
