build,chr,posstart,posend,strand,gene
38,0,5001,22493,1,UNC13D
38,0,5001,18020,1,UNC93B1
38,0,5001,18384,1,UNG
38,0,5001,12633,1,WAS
38,0,5001,31293,1,ZAP70
38,0,5001,44495,1,CD55
38,0,5001,41778,1,BTK
38,0,5001,11093,1,CFP
38,0,5001,10618,1,CALCA
38,0,5001,8454,1,ACTB
38,0,5001,33907,1,AK2
38,0,5001,30255,1,FAS
38,0,5001,151268,1,ATM
38,0,5001,11141,1,CFB
38,0,5001,25624,1,C4A
38,0,5001,68452,1,C8A
38,0,5001,19944,1,MS4A1
38,0,5001,17214,1,CD40LG
38,0,5001,25103,1,CD81
38,0,5001,12439,1,F12
38,0,5001,11125,1,FPR1
38,0,5001,17572,1,G6PC
38,0,5001,17459,1,CFHR1
38,0,5001,20093,1,IL10RA
38,0,5001,35849,1,IL10RB
38,0,5001,11321,1,MBL2
38,0,5001,28572,1,MVK
38,0,5001,9545,1,MYD88
38,0,5001,56336,1,NBN
38,0,5001,22030,1,NCF4
38,0,5001,37214,1,ADA
38,0,5001,192076,1,PRKDC
38,0,5001,242508,1,STIM1
38,0,5001,15769,1,STXBP2
38,0,5001,9032,1,THBD
38,0,5001,19461,1,APOL1
38,0,5001,15681,1,AICDA
38,0,5001,10715,1,FCN3
38,0,5001,47207,1,PSTPIP1
38,0,5001,96111,1,TTC37
38,0,5001,99954,1,LPIN2
38,0,5001,24274,1,CFHR3
38,0,5001,193127,1,CHD7
38,0,5001,40938,1,NOD2
38,0,5001,14726,1,CARD9
38,0,5001,18493,1,CLEC7A
38,0,5001,17340,1,AIRE
38,0,5001,22212,1,FERMT3
38,0,5001,10615,1,G6PC3
38,0,5001,16567,1,SLC46A1
38,0,5001,6786,1,TNFRSF13C
38,0,5001,11555,1,SLC37A4
38,0,5001,21124,1,IL1RN
38,0,5001,79203,1,ITK
38,0,5001,19600,1,MEFV
38,0,5001,65957,1,TNFRSF11A
38,0,5001,10472,1,CORO1A
38,0,5001,255395,1,DOCK8
38,0,5001,40990,1,AGRN
38,0,5001,41672,1,COL1A2
38,0,5001,12030,1,MSTN
38,0,5001,24996,1,MYOT
38,0,5001,14928,1,SGCA
38,0,5001,22625,1,SGCB
38,0,5001,149245,1,SGCG
38,0,5001,1153420,1,SGCZ
38,0,5001,41124,1,ZMPSTE24
38,0,5001,9442,1,CFL2
38,0,5001,8058,1,C1QA
38,0,5001,15630,1,TBX1
38,0,5001,37138,1,CFHR5
38,0,5001,9240,1,FADD
38,0,5001,139022,1,TRAF3
38,0,5001,13348,1,C1QB
38,0,5001,155228,1,COL4A3
38,0,5001,166849,1,COL4A4
38,0,5001,139659,1,ARHGEF10
38,0,5001,79710,1,CTDP1
38,0,5001,9486,1,C1QC
38,0,5001,139211,1,FIG4
38,0,5001,70233,1,GAN
38,0,5001,44469,1,GARS
38,0,5001,6740,1,HSPB1
38,0,5001,15357,1,C1S
38,0,5001,41751,1,IGHMBP2
38,0,5001,71809,1,IKBKAP
38,0,5001,175898,1,KIF1B
38,0,5001,44229,1,LITAF
38,0,5001,38335,1,MFN2
38,0,5001,10238,1,MPZ
38,0,5001,96328,1,MTMR2
38,0,5001,23184,1,C2
38,0,5001,57321,1,NGF
38,0,5001,40548,1,PMP22
38,0,5001,27603,1,PRPS1
38,0,5001,24601,1,PRX
38,0,5001,93663,1,RAB7A
38,0,5001,520541,1,SBF2
38,0,5001,98546,1,SETX
38,0,5001,47817,1,C3
38,0,5001,17221,1,SOX10
38,0,5001,89264,1,SPTLC1
38,0,5001,30302,1,LDLRAP1
38,0,5001,102942,1,C5
38,0,5001,409120,1,KCNQ1
38,0,5001,106611,1,SCN5A
38,0,5001,69626,1,KCNE1
38,0,5001,12118,1,KCNE2
38,0,5001,28439,1,IRF8
38,0,5001,43374,1,COL3A1
38,0,5001,78443,1,C7
38,0,5001,41806,1,C8B
38,0,5001,85279,1,C9
38,0,5001,25722,1,ZBTB24
38,0,5001,570658,1,ANK2
38,0,5001,15510,1,KCNJ2
38,0,5001,24539,1,SCN4B
38,0,5001,174799,1,AKAP9
38,0,5001,40936,1,SNTA1
38,0,5001,31652,1,KCNJ5
38,0,5001,12409,1,CD19
38,0,5001,8671,1,CD3D
38,0,5001,16596,1,CD3E
38,0,5001,14439,1,CD3G
38,0,5001,38816,1,CRTAP
38,0,5001,16479,1,CD40
38,0,5001,9250,1,CD79A
38,0,5001,8607,1,CD79B
38,0,5001,6960,1,CEBPE
38,0,5001,8960,1,CFD
38,0,5001,52786,1,CIITA
38,0,5001,25750,1,LEPRE1
38,0,5001,49182,1,CTSC
38,0,5001,8807,1,CXCR4
38,0,5001,12761,1,CYBA
38,0,5001,38445,1,CYBB
38,0,5001,52225,1,DCLRE1C
38,0,5001,19934,1,DKC1
38,0,5001,51972,1,DNMT3B
38,0,5001,8956,1,ELANE
38,0,5001,12829,1,FASLG
38,0,5001,32834,1,ATP1A2
38,0,5001,13865,1,FCGR3A
38,0,5001,19217,1,FOXN1
38,0,5001,19392,1,FOXP3
38,0,5001,17116,1,GFI1
38,0,5001,8313,1,HAX1
38,0,5001,26947,1,IFNGR1
38,0,5001,12184,1,IGLL1
38,0,5001,305019,1,CACNA1A
38,0,5001,20691,1,IL12B
38,0,5001,24934,1,IL7R
38,0,5001,35600,1,IRAK4
38,0,5001,89480,1,SCN1A
38,0,5001,40928,1,LRRC8A
38,0,5001,8785,1,LAMTOR2
38,0,5001,16080,1,MPO
38,0,5001,81575,1,MRE11A
38,0,5001,226768,1,MYO5A
38,0,5001,90542,1,NHEJ1
38,0,5001,17438,1,NRAS
38,0,5001,10428,1,PRF1
38,0,5001,91210,1,RAB27A
38,0,5001,23996,1,RAC2
38,0,5001,16750,1,RAG1
38,0,5002,25625,1,C4B
38,0,5088,221929,1,LEPR
38,0,5214,50794,1,ELF4
38,0,5512,5579,1,J01415.8
38,0,5555,21182,1,G6PD
38,0,5587,5655,-1,J01415.9
38,0,5657,5729,-1,J01415.10
38,0,5753,13093,1,LIG4
38,0,5755,5838,1,CU459202.3
38,0,5761,5826,-1,J01415.11
38,0,5815,7152,1,CU179654.1
38,0,5826,5891,-1,J01415.12
38,0,5904,7445,1,MT-CO1
38,0,6011,31427,-1,DOC2B
38,0,6019,13945,1,SLC35C1
38,0,6221,113069,1,SLC12A6
38,0,6877,37936,1,NLRP3
38,0,7446,7514,-1,J01415.13
38,0,7518,7585,1,J01415.14
38,0,7586,8269,1,MT-CO2
38,0,7891,96246,1,KIR2DL2
38,0,8050,8132,1,CU459202.2
38,0,8295,8364,1,J01415.15
38,0,8366,8572,1,J01415.25
38,0,8527,9207,1,MT-ATP6
38,0,9207,9990,1,MT-CO3
38,0,9658,18766,1,GATA2
38,0,9991,10058,1,J01415.16
38,0,9994,89872,1,BLNK
38,0,10059,10404,1,MT-ND3
38,0,10271,10353,-1,CU442762.4
38,0,10405,10469,1,J01415.17
38,0,10470,10766,1,MT-ND4L
38,0,10604,27803,1,IKBKG
38,0,10760,12137,1,MT-ND4
38,0,11451,11589,-1,CU459211.1
38,0,11746,11828,-1,CU442762.2
38,0,11986,12067,-1,CU442762.1
38,0,12138,12206,1,J01415.18
38,0,12207,12265,1,J01415.19
38,0,12266,12336,1,J01415.20
38,0,12337,14148,1,MT-ND5
38,0,12789,47886,1,ITGB2
38,0,12803,12884,-1,CU442762.3
38,0,12836,34543,1,CU459201.1
38,0,14149,14673,-1,MT-ND6
38,0,14674,14742,-1,J01415.21
38,0,14747,15887,1,MT-CYB
38,0,15194,15277,-1,MIR4273
38,0,15888,15953,1,J01415.22
38,0,15956,16023,-1,J01415.23
38,0,17285,17399,1,CT978678.1
38,0,18464,18566,1,Y_RNA
38,0,19097,19180,1,CT867976.3
38,0,20001,158719,1,APC
38,0,20113,20230,1,5S_rRNA
38,0,21683,28792,1,CD8A
38,0,21878,21950,-1,CT867977.1
38,0,22673,22791,1,5S_rRNA
38,0,24523,24637,-1,AC145060.1
38,0,26348,27637,-1,AC002321.1
38,0,28800,28881,1,CU013544.1
38,0,29663,33264,1,BX511012.2
38,0,30530,32226,-1,CT476828.1
38,0,33310,58918,1,PLEKHG5
38,0,33615,37038,-1,AC108004.2
38,0,33748,33830,-1,CT867976.5
38,0,33986,34068,-1,CT867976.2
38,0,35214,35296,1,CU013544.2
38,0,35322,36221,-1,AL356585.3
38,0,35452,35534,1,CU013544.3
38,0,36277,50281,-1,BX511012.1
38,0,37003,37085,-1,CT867976.4
38,0,37098,62515,1,LMNA
38,0,37434,37534,-1,Y_RNA
38,0,38211,38291,1,AL591856.4
38,0,38476,106733,1,UBE3A
38,0,38792,97421,-1,AL354822.1
38,0,40401,40482,-1,CT867976.1
38,0,40456,40754,1,Metazoa_SRP
38,0,42781,68787,-1,AL603926.1
38,0,43376,43458,1,AL591856.3
38,0,43717,74342,-1,AC011043.1
38,0,44537,47211,-1,AC145205.1
38,0,47191,47266,-1,AL592183.7
38,0,47211,47293,1,AL591856.5
38,0,49252,88375,-1,AC018692.1
38,0,52874,124205,1,C6
38,0,53590,56132,-1,AC145212.1
38,0,53831,99642,-1,AL592183.1
38,0,62293,220721,-1,RPH3AL
38,0,62310,63501,1,DDX11L8
38,0,62310,63501,1,DDX11L8
38,0,64061,66544,-1,RP11-631M21.1
38,0,64252,65919,1,AL356585.1
38,0,64522,82015,-1,ABC7-42389800N19.1
38,0,64522,82015,-1,ABC7-42389800N19.1
38,0,65370,65465,-1,CT476828.2
38,0,72627,74249,1,CT476828.10
38,0,75933,77555,1,CT476828.13
38,0,79239,80861,1,CT476828.8
38,0,81439,81539,1,Y_RNA
38,0,82418,82555,1,AC215219.2
38,0,82418,82555,1,AC238894.1
38,0,82545,84167,1,CT476828.11
38,0,83915,206423,1,CPS1
38,0,84477,84559,-1,AC145212.2
38,0,84813,84895,-1,AC145212.3
38,0,85851,87473,1,CT476828.4
38,0,86430,89304,-1,AL592170.1
38,0,86602,88133,-1,RP11-598F7.1
38,0,86667,88073,-1,FAM138D
38,0,87465,732164,1,CACNA1C
38,0,88883,88995,-1,U2
38,0,89157,90779,1,CT476828.7
38,0,91796,91912,1,U6atac
38,0,92420,92496,-1,AC018692.2
38,0,92463,94085,1,CT476828.6
38,0,93511,119608,-1,AL603926.3
38,0,94712,96884,1,RP11-631M21.6
38,0,95248,95324,-1,AC018692.3
38,0,95769,97391,1,CT476828.15
38,0,96645,96721,-1,AC018692.4
38,0,96892,100113,-1,TUBB8
38,0,99075,100697,1,CT476828.12
38,0,100714,100791,1,AL592188.4
38,0,102381,104003,1,CT476828.5
38,0,104742,104817,1,MIR3118-5
38,0,105687,107309,1,CT476828.14
38,0,107278,107339,1,SNORD112
38,0,107448,107561,1,AL592188.2
38,0,107909,108088,1,AL592188.5
38,0,108007,139339,-1,BX072566.1
38,0,108280,108340,1,AL592188.9
38,0,108993,110615,1,CT476828.9
38,0,110776,110888,1,U4atac
38,0,111481,111574,-1,AL356585.4
38,0,112025,112177,1,RNA5-8S5
38,0,112237,112366,-1,AL360154.2
38,0,112299,113921,1,CT476828.3
38,0,113982,114087,1,U6
38,0,114151,114242,1,AL592188.10
38,0,116765,228460,1,IQSEC3
38,0,117169,119085,1,AC011841.1
38,0,118197,118253,1,AL592188.3
38,0,120780,232475,1,IQSEC3
38,0,122779,122874,-1,AL592170.3
38,0,122920,123169,1,AC011841.2
38,0,126294,128249,1,AL356585.2
38,0,126781,126862,-1,AL591856.7
38,0,127840,127946,-1,U6
38,0,129789,134090,1,AL592170.2
38,0,130394,136265,-1,IL9RP2
38,0,136235,136317,-1,AC011841.6
38,0,137252,137327,-1,AL591856.1
38,0,138777,138857,-1,AC011841.4
38,0,139016,139098,-1,AC011841.10
38,0,144571,144653,-1,AC011841.9
38,0,147649,156325,1,AL133414.1
38,0,149787,180454,1,AL603926.2
38,0,151420,151533,1,AL592188.1
38,0,151881,152060,1,AL592188.7
38,0,152040,152122,-1,AC011841.3
38,0,152252,152312,1,AL592188.6
38,0,155997,156149,1,RNA5-8S5
38,0,156524,161850,-1,RP11-598F7.3
38,0,158123,158214,1,AL592188.8
38,0,160539,165865,-1,RP11-598F7.3
38,0,163853,163928,1,AL592183.6
38,0,164278,164360,1,AL592183.2
38,0,164643,164725,-1,AC011841.7
38,0,165117,165199,1,AL591856.6
38,0,165363,165438,-1,AC011841.5
38,0,166714,166794,1,AL591856.2
38,0,168106,168180,1,AL592183.3
38,0,168185,168260,-1,AC011841.8
38,0,169660,169941,-1,Metazoa_SRP
38,0,170410,172712,1,LINC00108
38,0,171364,171439,1,AL592183.5
38,0,173994,174069,1,AL592183.4
38,0,175230,175324,1,SNORA70
38,0,180636,212206,-1,AL360154.1
38,0,183252,183364,1,U2
38,0,184465,304637,1,ZMYND11
38,0,187411,199169,-1,RP11-598F7.4
38,0,189016,190077,1,RP11-1260E13.1
38,0,191426,203184,-1,RP11-598F7.4
38,0,192989,220023,1,PLCXD1
38,0,198829,201112,1,RP11-1260E13.4
38,0,204831,204943,-1,5S_rRNA
38,0,214664,216321,-1,RP11-598F7.5
38,0,216856,232399,-1,RP11-598F7.6
38,0,218679,220336,-1,RP11-598F7.5
38,0,220013,230886,-1,GTPBP6
38,0,220262,225205,1,RP11-1260E13.2
38,0,220871,236414,-1,RP11-598F7.6
38,0,222361,224506,1,RP11-1260E13.3
38,0,222730,407630,-1,AC109135.1
38,0,254332,263814,-1,AC108004.3
38,0,260118,264367,1,C17orf97
38,0,281725,282586,1,PPP2R3B-AS1
38,0,289769,295730,-1,FAM101B
38,0,294698,347690,-1,PPP2R3B
38,0,415332,415454,1,5S_rRNA
38,0,425316,425416,-1,AL732314.1
38,0,484510,484837,-1,FABP5P13
38,0,505971,506087,-1,KRT18P53
38,0,544948,545107,-1,U1
38,0,585079,620146,1,SHOX
38,0,950956,955100,1,RP11-309M23.1
38,0,950956,955100,1,RP11-309M23.1
38,0,969238,970836,-1,RPL14P5
38,0,969238,970836,-1,RPL14P5
38,0,1314890,1331616,-1,CRLF2
38,0,1387693,1429274,1,CSF2RA
38,0,1410648,1410721,1,BX649553.3
38,0,1410987,1411060,1,BX649553.4
38,0,1412508,1412582,1,BX649553.2
38,0,1412811,1412885,1,MIR3690
38,0,1413025,1413099,1,BX649553.1
38,0,1419149,1419268,-1,RNA5SP498
38,0,1437739,1438052,-1,Metazoa_SRP
38,0,1455509,1501578,1,IL3RA
38,0,1505045,1511626,-1,SLC25A6
38,0,1515320,1518295,-1,LINC00106
38,0,1520662,1534319,1,ASMTL-AS1
38,0,1522032,1572655,-1,ASMTL
38,0,1581465,1656000,-1,P2RY8
38,0,1710486,1721407,1,AKAP17A
38,0,1733894,1761974,1,ASMT
38,0,1746639,1755356,1,RP13-297E16.3
38,0,1851477,1874878,1,RP13-297E16.4
38,0,1886240,1887669,1,RP13-297E16.5
38,0,1981650,1983729,1,RP11-1049H7.2
38,0,1993155,2113475,1,MYOM2
38,0,2104674,2142690,1,RP11-1049H7.1
38,0,2137557,2420846,-1,DHRSX
38,0,2252336,2254451,-1,DHRSX-IT1
38,0,2404455,2419008,-1,ZBED1
38,0,2405023,2407012,-1,RP11-325D5.3
38,0,2426352,2445053,-1,AC133633.2
38,0,2451484,2454668,1,AC133633.1
38,0,2522436,2555813,-1,RP11-378A12.1
38,0,2527389,2575270,1,CD99P1
38,0,2531029,2533388,-1,LINC00102
38,0,2609220,2659350,1,CD99
38,0,2652790,2652894,1,U6
38,0,2654896,2655740,-1,SRY
38,0,2657868,2658369,1,RNASEH2CP1
38,0,2670091,2734539,1,XG
38,0,2696023,2696259,1,TOMM22P2
38,0,2709527,2734997,1,RPS4Y1
38,0,2722771,2800041,1,AC006157.2
38,0,2729941,2730021,1,snoU13
38,0,2746829,2800859,1,GYG2
38,0,2749724,2751693,-1,HSFY3P
38,0,2770781,2771801,-1,GYG2-AS1
38,0,2797042,2799161,-1,NAP1L1P2
38,0,2803112,2850547,1,ZFY
38,0,2822011,2847392,-1,ARSD
38,0,2822945,2824122,1,ARSD-AS1
38,0,2834885,2870667,-1,ZFY-AS1
38,0,2852699,2886286,-1,ARSE
38,0,2863108,2863314,-1,EEF1A1P41
38,0,2870953,2970313,1,LINC00278
38,0,2924654,2951612,1,ARSH
38,0,2959512,3030767,1,ARSF
38,0,2976264,2976543,-1,Metazoa_SRP
38,0,3030941,3031637,-1,RP13-824C8.2
38,0,3161849,3162867,1,AGPAT5P1
38,0,3189861,3202694,1,CXorf28
38,0,3226606,3264684,-1,MXRA5
38,0,3285190,3286423,1,ASS1P4
38,0,3417693,3417851,-1,PRRC2CP1
38,0,3447082,3448082,1,TGIF2LY
38,0,3450158,3450292,-1,SNORA48
38,0,3490898,3491002,1,U6
38,0,3522411,3631649,-1,PRKX
38,0,3525299,3525406,-1,U6
38,0,3550846,3551909,1,USP12PY
38,0,3559484,3559596,-1,Y_RNA
38,0,3577528,3586233,1,PRKX-AS1
38,0,3635190,3635626,1,RP11-558O12.1
38,0,3646038,3647587,-1,RNF19BPY
38,0,3719265,3720910,-1,AC012078.2
38,0,3734347,3734763,-1,UBE2V1P3
38,0,3734598,3761934,-1,RP11-706O15.1
38,0,3771051,3800358,-1,RP11-706O15.3
38,0,3809479,3838787,-1,RP11-706O15.5
38,0,3847910,3855896,-1,RP11-706O15.7
38,0,3871097,3871602,1,RP11-706O15.8
38,0,3904538,3968361,1,AC010084.1
38,0,4043026,4043131,-1,U6
38,0,4501463,4501541,-1,AC108683.1
38,0,4545241,4551613,-1,RP11-707P20.1
38,0,4636834,4636955,-1,AC074035.1
38,0,4669726,4670889,-1,SERBP1P2
38,0,4868267,5610265,1,PCDH11Y
38,0,4887117,4887307,1,U2
38,0,4934796,5025475,1,AKR1C1
38,0,5017974,5018398,-1,RP11-69D4.3
38,0,5029967,5060207,-1,AKR1C2
38,0,5033750,5034174,1,RP11-69D4.5
38,0,5038045,5039572,1,RP11-499O7.7
38,0,5046902,5047034,1,U8
38,0,5075256,5076110,-1,VDAC1P6
38,0,5077549,5149878,1,AKR1C3
38,0,5086959,5087480,-1,MTND6P12
38,0,5087553,5088686,1,RP11-585K14.2
38,0,5090055,5090173,-1,U8
38,0,5091004,5093862,1,RP11-499O7.4
38,0,5135600,5135735,-1,U8
38,0,5164279,5177418,-1,RP11-499O7.5
38,0,5196332,5244678,-1,AKR1CL1
38,0,5205786,5207005,-1,EIF4A1P2
38,0,5223755,5225169,-1,RP11-555H23.1
38,0,5237655,5261141,1,AKR1C4
38,0,5238076,5238165,-1,U8
38,0,5249361,5249934,1,RP11-445P17.6
38,0,5276550,5305600,1,RP11-445P17.3
38,0,5308225,5313428,-1,RP11-445P17.8
38,0,5317365,5330662,-1,RP11-445P17.4
38,0,5328163,5328292,1,SNORA20
38,0,5346623,5347057,-1,RP11-445P17.5
38,0,5407201,5416398,1,UCN3
38,0,5435290,5447022,-1,TUBAL3
38,0,5441186,5442472,1,KRT18P10
38,0,5441969,5442060,1,AC012667.1
38,0,5571462,5644346,-1,RP11-733O18.1
38,0,5661341,5661778,-1,RPL26P37
38,0,5742287,5742379,1,AC010874.1
38,0,5758678,6146904,-1,NLGN4X
38,0,5979685,5979790,-1,SNORA31
38,0,6026843,6027306,1,DLGAP5P1
38,0,6109809,6111670,-1,AC006335.2
38,0,6110487,6111651,-1,TTTY23B
38,0,6111336,6113324,-1,AC006335.6
38,0,6114264,6117060,1,TSPY2
38,0,6124308,6131994,-1,FAM197Y9
38,0,6131643,6133645,-1,AC006335.7
38,0,6134634,6137316,1,TSPY11P
38,0,6171998,6173115,-1,TSPY19P
38,0,6174083,6175961,1,AC006335.10
38,0,6175751,6177628,1,AC006335.11
38,0,6182796,6184282,-1,AC006335.12
38,0,6196093,6211364,1,RBMY2GP
38,0,6225260,6229454,-1,LINC00280
38,0,6258472,6279605,1,TTTY1B
38,0,6274285,6292186,-1,TTTY2B
38,0,6299196,6299350,-1,RP11-459A10.3
38,0,6299515,6299685,-1,RP11-459A10.2
38,0,6301947,6302004,-1,MIR4770
38,0,6311475,6315118,1,TTTY21B
38,0,6317509,6325947,1,TTTY7
38,0,6338814,6341671,-1,TTTY8B
38,0,6340133,6340742,-1,RP11-459A10.1
38,0,6361017,6364798,-1,AC010154.2
38,0,6388504,6388970,1,TSPY17P
38,0,6451659,6453159,-1,VCX3A
38,0,6585906,6639585,-1,RP11-1M18.1
38,0,6587003,6587221,-1,SRIP3
38,0,6705748,6706293,1,GOT2P5
38,0,6733959,6742068,-1,AMELY
38,0,6768794,6769413,1,ATP5JP1
38,0,6778727,6959977,1,TBL1Y
38,0,6907370,6907824,1,RP13-926M18.1
38,0,6966961,7066231,-1,HDHD1
38,0,6968774,6974543,-1,GPR143P
38,0,7031046,7031445,-1,RP11-483M24.2
38,0,7065901,7065978,1,MIR4767
38,0,7137497,7272851,1,STS
38,0,7142013,7249589,1,PRKY
38,0,7192338,7192636,-1,7SK
38,0,7209572,7209683,1,Y_RNA
38,0,7246713,7246820,1,U6
38,0,7291095,7291199,-1,U6
38,0,7491857,7493132,-1,RP11-87M1.1
38,0,7539784,7544065,-1,RBMY2HP
38,0,7546940,7549069,1,AC007274.2
38,0,7555780,7557589,-1,TSPY12P
38,0,7558552,7560719,1,AC007274.5
38,0,7567398,7569288,-1,TTTY16
38,0,7581026,7644748,-1,RFTN1P1
38,0,7610636,7690901,-1,AC007275.2
38,0,7672965,7678724,1,TTTY12
38,0,7721727,7722917,-1,ZNF92P1Y
38,0,7781463,7782131,-1,ZNF736P8Y
38,0,7801038,7805681,-1,BPY2DP
38,0,7810303,7812184,1,VCX
38,0,7859028,7859847,-1,ZNF736P7Y
38,0,7866288,7895780,-1,PNPLA4
38,0,7936937,7938764,-1,ZNF736P9Y
38,0,7975419,7986201,1,RP11-692P14.1
38,0,7995171,8012244,1,RBMY2JP
38,0,8095006,8095102,1,MIR651
38,0,8132490,8145229,-1,RBMY2KP
38,0,8137989,8139308,-1,VCX2
38,0,8148239,8150250,1,TSPY24P
38,0,8218972,8220184,1,ZNF736P6Y
38,0,8231577,8232000,-1,MTND6P1
38,0,8232073,8233191,1,MTCYBP1
38,0,8239704,8240071,1,MTND1P1
38,0,8240282,8240751,1,MTND2P3
38,0,8281078,8282095,-1,TRIM60P3Y
38,0,8286832,8287941,-1,ZNF736P10Y
38,0,8432871,8434550,1,VCX3B
38,0,8496915,8700227,-1,KAL1
38,0,8506335,8513440,1,LINC00279
38,0,8551411,8551919,-1,TTTY18
38,0,8572513,8573324,1,TTTY19
38,0,8585996,8642307,-1,MYO1F
38,0,8645126,8675619,-1,ADAMTS10
38,0,8651351,8685423,-1,TTTY11
38,0,8741728,8741952,1,AC092566.1
38,0,8751555,8752502,-1,DRAXINP1
38,0,8758836,8769424,-1,FAM9A
38,0,8762287,8763706,-1,ACTL9
38,0,8769244,8771317,-1,AC007967.2
38,0,8774265,8784114,1,AC007967.3
38,0,8793619,8794088,-1,CTD-2557P19.1
38,0,8795838,8796893,1,OR2Z1
38,0,8824706,8825100,-1,GS1-542M4.3
38,0,8831902,8835642,-1,GS1-542M4.4
38,0,8836096,8838684,-1,AC012616.1
38,0,8839792,8842136,-1,AC007967.4
38,0,8874590,8887773,-1,ZNF558
38,0,8898635,8908029,1,OFD1P3Y
38,0,8948466,8950546,-1,RP11-66N5.2
38,0,8992273,9132680,-1,FAM9B
38,0,9003694,9005311,-1,CDY3P
38,0,9021303,9023412,1,USP9YP22
38,0,9027238,9042220,-1,USP9YP4
38,0,9068524,9068856,1,TCEB1P4
38,0,9101869,9101987,1,RNA5SP499
38,0,9147426,9147647,1,RP11-430A19.2
38,0,9148739,9160483,-1,RBMY1A3P
38,0,9167489,9172441,-1,TTTY20
38,0,9175073,9177893,1,TSPY4
38,0,9185120,9193010,-1,FAM197Y8
38,0,9195406,9218479,1,TSPY8
38,0,9205412,9235047,-1,FAM197Y7
38,0,9215731,9218480,1,TSPY7P
38,0,9215731,9307357,1,TSPY3
38,0,9217960,9243246,1,GS1-519E5.1
38,0,9225731,9233636,-1,FAM197Y6
38,0,9236076,9307357,1,TSPY1
38,0,9293012,9344176,-1,AC006156.1
38,0,9324922,9347978,1,TSPY6P
38,0,9334896,9342768,-1,FAM197Y3
38,0,9355208,9363096,-1,FAM197Y2
38,0,9365489,9368291,1,TSPY10
38,0,9370791,9382606,1,RP11-126O22.1
38,0,9374241,9384693,-1,FAM197Y1
38,0,9385717,9388290,1,TSPY15P
38,0,9431335,9687780,1,TBL1X
38,0,9448180,9458885,-1,RBMY3AP
38,0,9461792,9463961,1,TSPY25P
38,0,9477858,9478325,-1,TSPY16P
38,0,9502838,9506619,1,AC017019.1
38,0,9528709,9531566,1,TTTY8
38,0,9544433,9552871,-1,TTTY7B
38,0,9555262,9558905,-1,TTTY21
38,0,9578193,9596085,1,TTTY2
38,0,9590765,9611898,-1,TTTY1
38,0,9638762,9650854,1,TTTY22
38,0,9650924,9655122,1,AC010891.2
38,0,9669027,9684305,-1,RBMY2NP
38,0,9693386,9754337,-1,GPR143
38,0,9707273,9708390,1,TSPY18P
38,0,9743204,9745748,-1,TSPY13P
38,0,9748407,9749571,1,TTTY23
38,0,9754496,9917483,1,SHROOM2
38,0,9786279,9787509,-1,RP11-98L4.1
38,0,9789162,9797032,1,RBMY2OP
38,0,9833133,9833583,-1,HMGN1P33
